source_genesymbol,target_genesymbol,interaction_type
Rela,Il7r,->
Becn1,Usp10,->
Dapk1,Itga3,-|
Stat3,Twist2,->
Akt1,Ppp1ca,->
Ppp1ca,Lmnb1,->
Irf1,Nod1,->
Rela,Birc2,->
Foxo3,Tnfaip8,->
Ctnnb1,Casp4,-|
Stat6,Tnfsf13,->
Esr1,Snai1,->
Snai1,Mbd2,->
Gzma,Hmgb2,-|
Bid,Endog,->
Foxa2,Ano2,->
E2f1,Mybl2,->
Runx1,Tnfaip6,->
Atm,Mcm6,->
Mycn,Akap10,->
Gata2,Tnfaip8l1,->
Rela,Tnfrsf18,->
Stat3,Krt17,->
Mycn,Trex2,->
Mapk1,Bmf,->
Stat6,Bcl6,->
Tp53,Phlda3,->
Cdk4,Runx3,-|
Mycn,Mrps17,->
Rela,Kmt2a,->
Kmt2a,Hoxc8,->
Rela,Cd40lg,->
Irf3,Il12b,->
Rela,Gclc,->
Esr1,Srebf1,-|
Prkca,Pou2af1,->
Rela,Ripk2,->
Akt1,Ptk2,->
Dapk1,Mark2,->
Nfatc1,Lif,->
Mycn,Caln1,->
Cebpb,Cebpg,->
Rela,Birc5,->
Akt1,Pak1,->
Pak1,Dynll1,-|
Sp1,Mlx,->
Akt1,Ep300,->
Ep300,Arnt,->
Foxo3,Stab1,->
Stab1,Ntm,->
Nfkb1,Nfkbiz,->
Rela,Tbp,->
Nfkb1,Gsk3b,->
Jun,Casp14,->
Gapdh,Pou2f1,->
Tp53,Ccr6,->
Esr1,Fgf2,->
Fgf2,Thbs1,-|
Casp4,Gsdmd,->
Stk3,Stk38l,->
Esr1,Apaf1,->
Esr1,Krt15,->
E2f1,Gabarapl1,->
Il18r1,Neto2,->
Yap1,Smad1,->
Esr1,Nfatc4,->
Insr,App,->
Csnk2a1,Tnfaip1,->
Akt1,Mxd1,-|
Lef1,Faim2,->
Tp53,Hr,-|
Rela,Stk39,->
E2f1,Hrk,->
Ppp1ca,Sp3,-|
Egr1,Col11a1,->
Dapk1,Camkk2,-|
Insr,Dyrk1a,->
Dyrk1a,Cdkl5,->
Tp53,Bcl2l14,->
Rela,Irf4,->
Esr1,Fasn,->
