Rbpj,->,Bcl2
Spop,->,Cul3
Tgfb1,->,Egfr
Mxd1,->,Id2
Ptpn6,-|,Pik3r1
Siva1,-|,Bcl2l1
Akt1,->,Sp1
Tfap2a,->,Tnfrsf11a
Stat5a,-|,Id2
Dcc,->,Adora2b
Foxo1,->,Angptl2
Yy1,->,Tp53
Nfatc1,->,Traf2
Cdk1,->,Bcl2l11
Ezh2,->,Bcl2l11
Crebbp,->,Hoxa10
Nfkb1,->,Traf2
Tp53,->,Tbpl1
Irf9,->,Cdkn1a
Tank,->,Tbk1
Dlx4,->,Tnf
Pak2,->,Myl9
Cebpe,->,Ltf
Syk,->,Prkca
Tnfsf13b,->,Map3k14
Klf2,-|,Myc
Hdac3,-|,Jun
Ascl1,->,Hes6
Slitrk1,->,Ptprd
Xbp1,->,Jun
Map2k4,->,Mapk9
Nfe2l2,->,Ddit3
Stat3,->,Prkcb
Map2k1,->,Mapk1
Insr,->,Fgfr1
Mdm2,->,Apex1
Dnmt3a,-|,Klf4
Egfr,->,Stat3
Cdk2,->,E2f1
Mef2a,->,Klf2
Irf4,->,Ciita
Diablo,->,Birc2
Ctla4,->,Ptpn6
Ptprj,-|,Met
Tnf,->,Ltbr
Tp53,->,Krt15
Irf3,->,Cxcl10
Rps6ka3,->,Prkcq
Myc,->,Il11ra1
Ciita,-|,Myog
Ar,->,Rara
Birc2,-|,Traf2
Mapk14,->,Csnk2a1
Nek2,->,Tp53
Calm2,->,Camk2a
Rorc,->,Rora
Smad7,-|,E2f1
Gli3,->,Bcl2
Nfkb1,->,Myb
Notch1,->,Bcl2
Spi1,->,Lilrb3
Gsk3b,->,Bcl2l12
Mapk1,->,Gata1
Nr3c1,->,Bmal1
Nab2,-|,Gfi1
Casp3,->,Stk3
Prkca,->,Ppp1ca
Prkdc,->,Irf3
Dnmt3a,->,Dnmt3b
Mavs,->,Casp8
Jak2,->,Grb2
Rela,->,Irf4
Ikbke,->,Traf2
Sp1,->,Xiap
Itgb1,-|,Capn1
Nfkb1,->,Xiap
Prkaca,-|,Srebf1
Cntn1,->,Fcgrt
Clu,-|,Ikbkb
Fgg,-|,Vwf
Thbs1,->,Ptprj
Egr2,->,Egfr
Ets2,->,Prkaca
Map3k2,->,Map2k7
Src,->,Sh3glb1
Map3k14,->,Ikbkb
Mapk3,->,Ncoa2
Meis1,->,Myc
Prkca,->,Akt1
Nfkb2,->,Il10
Smad2,->,Tgfbr2
