source_genesymbol,target_genesymbol,interaction_type
Src,H2-Q10,->
Esr1,Egf,->
Foxo1,Galnt14,-|
Csnk2a1,Cebpd,->
Cdk1,Csnk2b,->
Csnk2b,Tbp,->
Ikbke,Irf7,->
Esr1,Trim25,->
Trim25,Rigi,->
Cdk1,Bcl2,->
Prkaca,Mlxipl,->
Runx1,Tnfsf10,-|
Ncor2,Hdac3,->
Cdk1,Ccne1,->
Myc,Ybx2,->
Ctnnb1,Il1r1,->
Mycn,Dusp8,->
Stat3,Pim3,->
Pak1,Map3k1,->
Map3k1,Ets2,->
Esr1,Tfap2c,->
Tp63,Il12a,->
Tp53,Plk3,->
Esr1,App,->
Cdk1,Cdc14a,->
Cdk1,Lef1,->
Foxo1,Casp14,->
Prkaca,Camkk2,-|
Nfe2l2,Hmox1,->
Sp1,Lgals1,->
Cdk1,Rps6kb1,->
Rps6kb1,Gli1,->
Pak1,Bcl6,-|
Ikbke,Rel,->
Foxo1,Cd40,->
Ptgs2,Cav1,->
Plcg1,Lyn,->
Lyn,Cd79b,->
Cd79b,Ntm,->
Pak1,Aurka,->
Aurka,Rassf1,-|
Prkca,Pea15,-|
Pak1,Ppp1r14a,->
Pik3ca,Ptpn11,->
Cdk1,Mybl2,->
Esr1,Krt14,->
Bbc3,Bcl2l2,-|
Myc,Pias2,->
Nrf1,Tfam,->
Cdk1,Rcc1,->
Casp8,Traf1,->
Rps6kb1,Rps6,->
Abl1,Prkd1,->
Mycn,Creb5,->
Il6,Il6st,->
Ctnnb1,Sgk1,->
Sgk1,Ndrg2,->
Tp53,Csnk2a2,->
Esr1,Dach1,->
Egfr,Ppard,->
Casp4,Gsdmd,->
Rxra,Nr1h4,->
Fyn,Ptprt,->
Ptgs2,Il4,->
Il4,Il13ra2,->
Map3k14,Nfkb2,->
Spi1,Tal1,-|
Tp53,Tbpl1,->
Ctnnb1,Birc7,->
Mapk3,Rps6ka2,->
Grb2,Cbl,->
Cbl,Lck,-|
Lck,Btla,->
Cdk1,Lmnb1,->
Esr1,Ltf,->
Cdk1,Mef2a,->
Mef2a,Twist2,->
Mycn,Ptdss1,->
Cdk1,Cdk7,->
Cdk7,Ets1,->
Tp53,Nlrp10,->
Ctnnb1,Rspo2,->
Rspo2,Lgr4,->
Cdk1,Dido1,->
Creb1,Egr3,->
Cdk1,Bcl2l1,-|
Casp1,Eno1,-|
Nfe2l2,Abcc1,->
Hif1a,Egln3,->
Egfr,Pkm,->
Creb1,Tnfsf13b,->
Klf4,Msc,-|
Ctnnb1,Tcf7l2,->
Il18,Il18rap,->
Prkdc,Rgs14,->
Esr1,Dll1,->
Csnk2a1,Slitrk1,->
Mapk8,Lrrfip1,->
Mapk14,Cnot3,->
Esr1,Npy,->
Npy,Prlhr,-|
Lef1,Faim2,->
Runx2,Tgfbr1,->
Ep300,Arnt,->
Sirt1,Nbn,->
Prmt1,Fus,-|
Mycn,Mcm2,->
Esr1,Bmi1,->
Esr1,Cflar,->
Mycn,Pkig,->
Mycn,Mcm6,->
Nfe2l2,Tgfb1,->
Mapk3,Ciita,->
Ciita,H2-K1,->
Mapk3,Tp53,->
Mapk3,Smad3,->
Smad3,Tnfsf13,->
Tnfsf13,Tnfrsf17,->
Smad3,Max,->
Mapk3,Crebbp,->
Mapk3,Myc,->
Myc,Irf4,->
Mapk3,Hnf4a,->
Hnf4a,Tnfrsf11b,->
Mapk3,Gsk3b,-|
Gsk3b,Mycn,->
Mapk3,Neurod1,->
Mapk3,Ar,->
Ar,Foxo1,->
Gsk3b,Foxl2,->
Mapk3,Twist1,->
Mapk3,Gata1,->
Gata1,Runx1,->
Mapk3,Bax,->
Mapk3,Pou5f1,-|
Pou5f1,Wnt3,-|
Wnt3,Fzd7,->
Tp53,Ctsd,->
Mapk3,Nfatc1,-|
Nfatc1,Il13,->
Mapk3,Pml,->
Pml,Kat5,->
Mapk3,Foxo3,-|
Foxo3,Sirt6,->
Mapk3,Gtf2i,->
Gtf2i,E2f2,->
Tp53,Vdr,->
Mapk3,Cebpb,->
Cebpb,Ywhae,->
Tp53,Id2,->
Mapk3,Stat3,->
Stat3,Hsp90aa1,->
Mapk3,Dapk1,->
Dapk1,Tln1,-|
Mapk3,E2f1,->
Mapk3,Esr1,->
Mapk3,Irs1,-|
Irs1,Mapk8,->
Mapk3,Thrb,-|
Thrb,Gata2,-|
Mapk3,Smad1,->
Smad1,Smad6,->
Mapk3,Hsf1,->
Tp53,Chuk,-|
E2f1,Cdkn1a,->
Mapk3,Pax5,-|
Pax5,Ebf1,->
Mapk3,Rxra,->
Rxra,Nr1h3,->
Bax,Htra2,->
Mapk3,Gata4,->
Mapk3,Cdkn1b,-|
Dapk1,Becn1,->
Dapk1,Stx1a,-|
Tp53,Klf2,-|
Mapk3,Raf1,->
Raf1,Stk3,-|
Mapk3,Mapkapk2,->
Mapkapk2,Plk1,->
Mapk3,Sp1,->
Sp1,Prkcb,->
Tp53,Ddb1,->
Mapk3,Mcl1,->
Mapk3,Casp8,-|
Mapk3,E2f4,->
E2f4,Map3k7,->
Mapk3,Snw1,->
Snw1,Ncor2,-|
Mapk3,Elk1,->
Elk1,Dap3,->
Stat3,Junb,->
Mapk3,Atf2,->
Atf2,Il6,->
Tp53,Dkk1,->
Sp1,Adam10,->
Adam10,Btc,->
Mapk3,Ncoa2,->
Ncoa2,Tnfrsf1a,->
Tnfrsf1a,Ripk3,->
Mapk3,Jun,->
Jun,Tnfaip1,->
Gsk3b,Bmal1,-|
Sp1,Fn1,->
Mapk3,Egfr,->
Mapk3,Pxn,->
Pxn,Nfatc2,->
Mapk3,Rhoa,->
Myc,Ikbkb,->
Mapk3,Myb,-|
Myb,Kitlg,->
Kitlg,Lrrn3,->
E2f1,Dapk2,->
Mapk3,Rps6ka3,->
Rps6ka3,Hand1,->
Tp53,Efnb3,->
Snw1,Rbpj,->
Crebbp,Nfkb1,->
Tp53,Unc5b,->
Gsk3b,Ddit3,->
Ddit3,Casp4,->
Tp53,Satb1,->
Mapk3,Pak1,-|
Gsk3b,Cycs,->
Gtf2i,Usf1,->
Twist1,Gli1,->
Gli1,Dkk3,->
Dapk1,Stx3,-|
Pou5f1,Sall4,->
Sp1,Bbc3,->
Mapk3,Epas1,->
Nfatc1,Flt4,->
Hnf4a,Nr0b2,->
Mlx,Col11a1,->
Mapk3,Runx2,->
Runx2,Tnfaip6,-|
Tp53,Fas,->
Mapk3,Nfe2l2,->
Nfe2l2,Yy1,->
Crebbp,Ctnnb1,->
Ar,Taf1,->
Mapk3,Smad4,->
Smad4,Il10,->
Mapk3,Rps6ka1,->
Rps6ka1,Nfkbib,->
Gata1,Spi1,-|
Dapk1,Mark1,->
Mapk3,Ptpn6,-|
Ptpn6,Ntrk1,-|
Mapk3,Ptpn11,->
Ptpn11,Igf1r,->
E2f1,Ezh2,->
Bax,Diablo,->
Hsf1,Il1b,->
Mapk3,Ppara,->
Ppara,H2-T23,->
Mapk3,Ncoa1,->
Hnf4a,Nr1i2,->
Sp1,Hoxb7,->
E2f1,Tp53bp2,->
Mapk3,Bcl2l11,-|
Bcl2l11,Bcl2a1,-|
Ciita,H2-Q7,->
Mapk3,Ep300,->
Ep300,Smad7,->
Casp8,Casp3,->
Casp3,Acin1,->
E2f1,E2f3,->
Mapk3,H3c6,->
H3c6,Tp53bp1,->
